問題番号,問題形式,問題文,選択肢1,選択肢2,選択肢3,選択肢4,文字数制限
1,4択,真核細胞でDNAの大部分を含む構造はどれか。,細胞膜,核,リボソーム,液胞,
2,4択,植物細胞にあり、動物細胞にはない構造はどれか。,細胞壁,細胞膜,ミトコンドリア,核,
3,4択,光合成が主に行われる細胞小器官はどれか。,葉緑体,ゴルジ体,リソソーム,中心体,
4,4択,細胞呼吸で有機物を分解してエネルギーを取り出す細胞小器官はどれか。,液胞,ミトコンドリア,葉緑体,核小体,
5,4択,酵素の主成分として最も適切なものはどれか。,脂質,タンパク質,無機塩類,核酸,
6,4択,体細胞分裂で染色体が赤道面に並ぶ時期はどれか。,前期,中期,後期,終期,
7,4択,減数分裂によってつくられる細胞として適切なものはどれか。,体細胞,生殖細胞,神経細胞,筋細胞,
8,4択,植物が光合成で取り入れる気体はどれか。,酸素,窒素,二酸化炭素,水素,
9,4択,根から吸収された水が主に通る道管はどれか。,師管,道管,気孔,形成層,
10,4択,生態系において有機物を無機物に戻す生物のはたらきを何というか。,生産者,消費者,分解者,捕食者,
11,単語,生物の体を構成する基本単位を何というか。,,,,,
12,単語,細胞膜の外側にあり、植物細胞の形を保つ構造を何というか。,,,,,
13,単語,細胞内でタンパク質を合成する粒子状の構造を何というか。,,,,,
14,単語,細胞内で物質の合成や輸送に関わる膜状の構造を何というか。,,,,,
15,単語,細胞内で不要になった物質を分解するはたらきをもつ小胞を何というか。,,,,,
16,単語,植物細胞で細胞液を含む大きな袋状の構造を何というか。,,,,,
17,単語,DNAを主成分とし、遺伝情報を担う物質を何というか。,,,,,
18,単語,DNAが細胞分裂時に凝縮してできる構造を何というか。,,,,,
19,単語,DNAを構成する基本単位を何というか。,,,,,
20,単語,細胞分裂の間にDNAが複製される時期を何というか。,,,,,
21,単語,同じ形や大きさの染色体が対になっているものを何というか。,,,,,
22,単語,体細胞分裂によって生じる二つの娘細胞が親細胞と同じ遺伝情報をもつことを何というか。,,,,,
23,単語,生殖細胞をつくるために染色体数を半分にする細胞分裂を何というか。,,,,,
24,単語,受精によってできる最初の細胞を何というか。,,,,,
25,単語,遺伝子の本体であるDNAの一部を何というか。,,,,,
26,単語,光合成で光エネルギーを吸収する緑色の色素を何というか。,,,,,
27,単語,光合成の材料となる、根から吸収される物質を何というか。,,,,,
28,単語,葉の表皮にあり、気体の出入りを調節するすき間を何というか。,,,,,
29,単語,水や無機塩類を根から葉へ運ぶ維管束の組織を何というか。,,,,,
30,単語,光合成でつくられた養分を運ぶ維管束の組織を何というか。,,,,,
31,単語,根の先端付近にあり、水や無機塩類の吸収を助ける細い毛を何というか。,,,,,
32,単語,植物が水を水蒸気として体外へ出すはたらきを何というか。,,,,,
33,単語,呼吸によって有機物から取り出され、生命活動に使われるエネルギー通貨を何というか。,,,,,
34,単語,呼吸において酸素を使わずに有機物を分解する過程を何というか。,,,,,
35,単語,酵素が特定の物質にだけ作用する性質を何というか。,,,,,
36,単語,酵素が作用する相手の物質を何というか。,,,,,
37,単語,体内の状態を一定の範囲に保とうとする性質を何というか。,,,,,
38,単語,神経系で情報を伝える細胞を何というか。,,,,,
39,単語,刺激を受け取る器官を何というか。,,,,,
40,単語,ホルモンを血液中に分泌する器官を何というか。,,,,,
41,単語,血液中で酸素を運ぶ赤い色素を何というか。,,,,,
42,単語,病原体などを排除する体の防御のしくみを何というか。,,,,,
43,単語,食物連鎖の出発点となる、無機物から有機物をつくる生物を何というか。,,,,,
44,単語,他の生物を食べて有機物を得る生物を何というか。,,,,,
45,単語,同じ種類の生物が同じ場所で生活している集まりを何というか。,,,,,
46,自由記述,植物細胞と動物細胞の共通点を二つ以上挙げて説明しなさい。,,,,,80
47,自由記述,光合成と呼吸の関係を、物質とエネルギーに触れて説明しなさい。,,,,,120
48,自由記述,体細胞分裂が生物の成長や組織の修復にどのように役立つか説明しなさい。,,,,,100
49,自由記述,生態系における生産者・消費者・分解者のつながりを説明しなさい。,,,,,120
50,自由記述,植物が気孔を通して行う気体交換と蒸散の意義を説明しなさい。,,,,,120
